"A2 sentence","B1-A2 transformation","B1 sentence"
"In der spanischen Region Katalonien gab im Jahr 2017 eine Abstimmung.","Complex split ","In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. "
"Dabei stimmten viele Menschen dafür, dass Katalonien unabhängig von Spanien wird.","Complex split ","In der spanischen Region Katalonien haben im Jahr 2017 viele Menschen bei einer Abstimmung für die Unabhängigkeit von Spanien gestimmt. "
"Die damalige Regierung von Spanien sagte: Die Abstimmung ist gegen das Gesetz.","Complex split ","Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. "
"Die spanische Regierung entließ auch viele Politiker von Katalonien.","Complex split ","Die damalige Regierung von Spanien erkannte die Abstimmung nicht an und entließ viele katalanische Politiker. "
"Dadurch wurde der Streit noch stärker.","Drop extra info ","Dadurch wurde der Streit zwischen Spanien und Katalonien noch stärker. "
"Heuer bekam Spanien eine neue Regierung.","Identical ","Heuer bekam Spanien eine neue Regierung. "
"Der neue Premier-Minister von Spanien heißt Pedro Sanchez (sprich: Santsches).","Paraphrase ","Premier-Minister von Spanien ist nun Pedro Sanchez. "
"Er will mit dem Streiten wegen Katalonien aufhören.","Paraphrase ","Er will den Streit mit Katalonien beenden. "
"Auch der Präsident von Katalonien will nun mit dem Streit aufhören.","Implicit ","Darauf hat sich Sanchez mit dem Präsidenten der Region Katalonien geeinigt. "
"In Spanien gibt es seit einiger Zeit politischen Streit wegen Katalonien.","Insert complementary info ",""
"Man weiß aber noch nicht, wann der Streit wirklich vorbei sein wird.","Insert complementary info ",""
