"A2 sentence","B1-A2 transformation","B1 sentence"
"Im Dschungel von der Insel Borneo in Asien leben Orang-Utans.","Simple split ","Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan. "
"Orang-Utans sind eine Affenart.","Simple split ","Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan. "
"Orang-Utans haben normalerweise rot-braunes Fell.","Paraphrase ","Diese Menschenaffen haben normalerweise rot-braunes Fell. "
"Aber im Jahr 2017 wurde ein weißer Orang-Utan gefunden.","Drop extra info ","Im April 2017 wurde aber in einem Dorf ein weißes Orang-Utan Weibchen gefunden. "
"Das Weibchen war verletzt.","Paraphrase ","Es war verletzt. "
"Pfleger haben das Tier wieder gesund gepflegt.","Complex split ","Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft. "
"Die Pfleger nannten das weiße Orang-Utan-Weibchen Alba.","Complex split ","Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft. "
"Jetzt wurde Alba wieder zurück in den Dschungel von Borneo gebracht.","Insert complementary info ","Jetzt wurde Alba zurück in den Dschungel gebracht. "
"Weiße Orang-Utans wie Alba sind aber sehr selten.","Insert complementary info ","Weiße Orang-Utans sind sehr selten. "
"Deshalb könnten Wilderer sie jagen wollen.","Paraphrase ","Daher kann es sein, dass Wilderer Alba jagen werden. "
"Darum wird Alba Tag und Nacht bewacht.","Drop extra info ","Sie wird Tag und Nacht von insgesamt 24 Personen bewacht. "
