"A2 sentence","B1-A2 transformation","B1 sentence"
"In Österreich gibt es eine neue Corona-Art.","Drop extra info ","Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden. "
"Das Gesundheits-Ministerium hat das am Montag bestätigt.","Drop extra info ","Das gab das Gesundheitsministerium bekannt. "
"Die neue Corona-Art heißt B.1.1.529.","Paraphrase ","Die neue Variante heißt B.1.1.529. "
"Man nennt sie aber auch Omikron.","Paraphrase ","Sie wird aber auch Omikron genannt. "
"Omikron wurde bei einem Test in Tirol festgestellt.","Paraphrase ","Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt. "
"Die betroffene Person wurde nach einer Reise aus Süd-Afrika positiv getestet.","Paraphrase ","Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden. "
"Weitere Verdachts-Fälle in Vorarlberg, und Oberösterreich wurden bis Montagnachmittag nicht bestätigt.","Identical ","Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt. "
"Omikron ist zum ersten Mal in Süd-Afrika aufgetaucht.","Paraphrase ","Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht. "
"Menschen, die gerade im Süden von Afrika waren, sollten sich jetzt auf den Corona-Virus testen lassen.","Drop extra info ","Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind. "
"31 Personen haben sich deswegen auch schon gemeldet.","Simple split ","31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. "
"20 von ihnen wurden negativ getestet.","Simple split ","31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet. "
"Die anderen werden noch getestet.","Paraphrase ","Beim Rest finden die Tests derzeit statt. "
