"B1 sentence","OR-B1 transformation","OR sentence"
"Auf der Insel Borneo in Asien lebt im Dschungel eine Affenart namens Orang-Utan.","Insert complementary info ",""
"Diese Menschenaffen haben normalerweise rot-braunes Fell.","Drop extra info ","Die Menschenaffen mit normalerweise rotbraunem Fell gelten heute als stark gefährdet oder gar vom Aussterben bedroht. "
"Im April 2017 wurde aber in einem Dorf ein weißes Orang-Utan Weibchen gefunden.","Drop extra info ","Das damals noch namenlose Tier war im April 2017 in einem abgelegenen Dorf entdeckt worden, tief im Inneren der Insel. "
"Es war verletzt.","Drop extra info ","Eingesperrt in einen winzigen Holzkäfig, verwahrlost, lethargisch, die helle Haut von der Sonne verbrannt. "
"Das Orang-Utan Weibchen wurde von Pflegern gesund gepflegt und Alba getauft.","Join ","Alba wurde in einer Station der Tierschutzorganisation Borneo Orangutan Survival (BOS) aufgepäppelt. Dort bekam sie auch ihren Namen: "
"Jetzt wurde Alba zurück in den Dschungel gebracht.","Complex split ","Der vermutlich einzige weiße Orang-Utan der Welt, ein Weibchen namens Alba, ist zurück im Dschungel von Borneo. "
"Weiße Orang-Utans sind sehr selten.","Complex split ","Der vermutlich einzige weiße Orang-Utan der Welt, ein Weibchen namens Alba, ist zurück im Dschungel von Borneo. "
"Daher kann es sein, dass Wilderer Alba jagen werden.","Drop extra info ","Allerdings drohen Gefahren: nicht nur von Raubtieren und Artgenossen, auch von menschlichen Trophäensammlern. "
"Deshalb steht Alba unter besonderem Schutz.","Drop extra info ","Auch deshalb steht Alba nach der Auswilderung unter besonderem Schutz. "
"Sie wird Tag und Nacht von insgesamt 24 Personen bewacht.","Drop extra info ","“Insgesamt passen rund um die Uhr, 24 Stunden lang, in verschiedenen Schichten, 24 Dayaks auf sie auf”, sagt Jamartin. "
