"B1 sentence","OR-B1 transformation","OR sentence"
"Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer.","Complex split ","Die Trainerfrage bei Fußball-Rekordmeister Rapid ist gelöst. Ferdinand Feldhofer wird ab Montag die Nachfolge von Interimstrainer Steffen Hofmann antreten, der am 10. November nach dem Aus von Dietmar Kühbauer eingesetzt worden war. "
"Feldhofer übernimmt das Amt von Steffen Hofmann.","Complex split ","Ferdinand Feldhofer wird ab Montag die Nachfolge von Interimstrainer Steffen Hofmann antreten, der am 10. November nach dem Aus von Dietmar Kühbauer eingesetzt worden war. "
"Hofmann hatte die Mannschaft vorübergehend trainiert.","Insert complementary info ",""
"Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden.","Insert complementary info ",""
"Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen.","Insert complementary info ",""
"Der neue Trainer Feldhofer war selbst Spieler bei Rapid.","Complex split ","Für ihn ist es eine Rückkehr, zählte er doch als aktiver Spieler zu jener Mannschaft, die 2005 den Meistertitel holte. "
"Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC.","Complex split ","Für ihn ist es eine Rückkehr, zählte er doch als aktiver Spieler zu jener Mannschaft, die 2005 den Meistertitel holte. Der Ex-WAC-Coach unterschrieb bei den Hütteldorfern am Sonntag einen Vertrag für eineinhalb Jahre mit Option für eine Verlängerung. "
"Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre.","Complex split ","Der Ex-WAC-Coach unterschrieb bei den Hütteldorfern am Sonntag einen Vertrag für eineinhalb Jahre mit Option für eine Verlängerung. "
"Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt.","Complex split ","Der 42-Jährige wird sein Debüt auf der Rapid-Trainerbank damit am Sonntag im Heim-Derby gegen die Austria geben. "
"Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria.","Complex split ","Der 42-Jährige wird sein Debüt auf der Rapid-Trainerbank damit am Sonntag im Heim-Derby gegen die Austria geben. "
