"B1 sentence","OR-B1 transformation","OR sentence"
"Am Montag ist in Österreich eine neue Variante von dem Coronavirus bestätigt worden.","Insert complementary info ",""
"Das gab das Gesundheitsministerium bekannt.","Implicit ","“Im Gesundheitsministerium liegen jetzt sämtliche Ergebnisse vor, die es für eine Bestätigung braucht”, hieß es aus dem Ressort. "
"Die neue Variante heißt B.1.1.529.","Complex split ","Bei einem Fall aus Tirol handelt es sich “mit Sicherheit” um die Variante mit der wissenschaftlichen Bezeichnung B.1.1.529. "
"Die neue Variante wurde bei einem Corona-Fall in Tirol festgestellt.","Complex split ","Bei einem Fall aus Tirol handelt es sich “mit Sicherheit” um die Variante mit der wissenschaftlichen Bezeichnung B.1.1.529. "
"Sie wird aber auch Omikron genannt.","Insert complementary info ",""
"Die betroffene Person war nach einer Südafrika-Reise positiv getestet worden.","Drop extra info ","Von der Infektion betroffen sei eine Person, die nach einer Südafrika-Reise positiv auf Covid-19 getestet wurde und derzeit keine Symptome aufweise. "
"Weitere Verdachtsfälle in Vorarlberg und Oberösterreich wurden bis Montagnachmittag nicht bestätigt.","Insert complementary info ",""
"Die neue Virus-Variante ist in Südafrika zum ersten Mal aufgetaucht.","Insert complementary info ",""
"31 Personen meldeten sich bisher, 20 wurden bereits negativ getestet.","Join ","Bisher meldeten sich 31 Menschen. “Neben dem genannten einen positiven Ergebnis liegt für 20 Personen bereits ein negatives Testergebnis vor, bei elf Personen sind die Testungen aktuell im Gange”, hieß es. "
"Beim Rest finden die Tests derzeit statt.","Complex split ","“Neben dem genannten einen positiven Ergebnis liegt für 20 Personen bereits ein negatives Testergebnis vor, bei elf Personen sind die Testungen aktuell im Gange”, hieß es. "
"Nun sollen alle Personen einen PCR-Test machen, die in den letzten Tagen aus bestimmten südafrikanischen Ländern zurückgekehrt sind.","Drop extra info ","Das Land Tirol forderte alle Personen, die in den vergangenen 14 Tagen aus den Ländern Südafrika, Lesotho, Botswana, Simbabwe, Mosambik, Namibia und Eswatini zurückgekehrt sind, auf, einen PCR-Test zu machen. "
